Source_Name,Target_Name,Action_Sentiment_immuneXpresso,NumPapers_immuneXpresso,Enrichment_Score_immuneXpresso,Source_cell_ontology_ID,ImmunoGlobe_reference
acinar cell,TGFB,Positive,4,21.33,CL_0000622,NA
acinar cell of sebaceous gland,CCL26,Positive,1,633.62,CL_0002140,NA
adult endothelial progenitor cell,CXCL12,Positive,7,42.48,CL_0002619,NA
adult endothelial progenitor cell,CXCL8,Positive,5,10.83,CL_0002619,NA
alternatively activated macrophage,CCL2,Positive,1,3.25,CL_0000890,NA
alternatively activated macrophage,IL10,Positive,9,14.9,CL_0000890,NA
alternatively activated macrophage,IL13,Positive,1,12.83,CL_0000890,NA
alternatively activated macrophage,IL6,Positive,3,4.93,CL_0000890,NA
alternatively activated macrophage,TNF,Positive,4,3.58,CL_0000890,NA
alveolar macrophage,CCL2,Positive,2,2.36,CL_0000583,NA
alveolar macrophage,CCL3,Positive,1,10.27,CL_0000583,NA
alveolar macrophage,CSF2,Positive,9,9.39,CL_0000583,NA
alveolar macrophage,CXCL2,Positive,3,50.07,CL_0000583,NA
alveolar macrophage,CXCL8,Positive,6,6.09,CL_0000583,NA
alveolar macrophage,IFNG,Positive,7,1.82,CL_0000583,NA
alveolar macrophage,IL12,Positive,2,2.5,CL_0000583,NA
alveolar macrophage,IL1B,Positive,7,9.21,CL_0000583,NA
alveolar macrophage,IL22,Positive,1,8.9,CL_0000583,NA
alveolar macrophage,TGFB1,Positive,3,2.68,CL_0000583,NA
alveolar macrophage,TNF,Positive,25,8.15,CL_0000583,NA
animal cell,CSF2,Positive,1,126.23,CL_0000548,NA
animal zygote,TGFB,Positive,1,39.99,CL_0000365,NA
articular chondrocyte,IL1RN,Positive,1,42.08,CL_1001607,NA
articular chondrocyte,IL7,Positive,1,11.43,CL_1001607,NA
articular chondrocyte,TGFB,Positive,1,6.67,CL_1001607,NA
astrocyte,CCL2,Positive,12,5.86,CL_0000127,NA
astrocyte,CSF1,Positive,3,2.7,CL_0000127,NA
astrocyte,CSF3,Positive,1,0.96,CL_0000127,NA
astrocyte,CX3CL1,Positive,3,16.34,CL_0000127,NA
astrocyte,CXCL12,Positive,3,3.7,CL_0000127,NA
astrocyte,CXCL8,Positive,2,1.26,CL_0000127,NA
astrocyte,EPO,Positive,2,2.6,CL_0000127,NA
