Source_tissue,Target_tissue,cytokine_description,cytokine_ensemlb,cytokine_genename,cytokine_uniprot,Receptor_description,Receptor_ensembl,Receptor_genename,Receptor_uniprot,reference,action_sentiment,num_papers,enrichment_score,chains
adipose tissue,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,NA,NA,NA,adipose tissue-->CCL7-->CCR2-->basophil
adipose tissue,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,adipose tissue-->CCL7-->ACKR4-->basophil
adipose tissue,basophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,adipose tissue-->CCL7-->CCR3-->basophil
adipose tissue,eosinophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,adipose tissue-->CCL7-->ACKR2-->eosinophil
adipose tissue,eosinophil,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,adipose tissue-->CCL7-->CCR3-->eosinophil
adipose tissue,intestine,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,NA,NA,NA,adipose tissue-->CCL7-->ACKR4-->intestine
adipose tissue,MAIT T-cell,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,adipose tissue-->CCL7-->CCR5-->MAIT T-cell
adipose tissue,naive CD4 T-cell,Interleukin 6,ENSG00000136244,IL6,P05231,Interleukin 6 signal transducer,ENSG00000134352,IL6ST,P40189,NA,NA,NA,NA,adipose tissue-->IL6-->IL6ST-->naive CD4 T-cell
adipose tissue,neutrophil,Interleukin 6,ENSG00000136244,IL6,P05231,Interleukin 6 receptor,ENSG00000160712,IL6R,P08887,NA,NA,NA,NA,adipose tissue-->IL6-->IL6R-->neutrophil
adipose tissue,NK-cell,C-C motif chemokine ligand 7,ENSG00000108688,CCL7,P80098,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,adipose tissue-->CCL7-->ACKR2-->NK-cell
