Source_tissue	Target_tissue	Source_cytokine_ensembl	Target_cytokine_ensembl	Source_cytokine_genename	Target_cytokine_genename	Source_cytokine_description	Target_cytokine_description	Source_cytokine_uniprot	Target_cytokine_uniprot	Receptor_ensembl	Receptor_genename	Receptor_synonym	Receptor_uniprot	Receptor_description	Source_tissue_ontology	Target_tissue_ontology	reference_first	reference_second	Action.Sentiment_first	Action.Sentiment_second	NumPapers_first	NumPapers_second	Enrichment.Score_first	Enrichment.Score_second
adipose tissue	basophil	ENSG00000108688	ENSG00000019991	CCL7	HGF	C-C motif chemokine ligand 7	Hepatocyte growth factor	P80098	P14210	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000019991	CCL7	HGF	C-C motif chemokine ligand 7	Hepatocyte growth factor	P80098	P14210	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000019991	CCL7	HGF	C-C motif chemokine ligand 7	Hepatocyte growth factor	P80098	P14210	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000099985	CCL7	OSM	C-C motif chemokine ligand 7	Oncostatin M	P80098	P13725	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000099985	CCL7	OSM	C-C motif chemokine ligand 7	Oncostatin M	P80098	P13725	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000099985	CCL7	OSM	C-C motif chemokine ligand 7	Oncostatin M	P80098	P13725	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
adipose tissue	basophil	ENSG00000108688	ENSG00000113520	CCL7	IL4	C-C motif chemokine ligand 7	Interleukin 4	P80098	P05112	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.	NA	Positive	NA	35	NA	28.76
adipose tissue	basophil	ENSG00000108688	ENSG00000113520	CCL7	IL4	C-C motif chemokine ligand 7	Interleukin 4	P80098	P05112	ENSG00000121807	CCR2	CC-CKR-2, CD192, CKR2, CMKBR2, FLJ78302, MCP-1-R	P41597	C-C motif chemokine receptor 2	NA	CL_0000767	NA	605|Figure 14.3	NA	Positive	NA	35	NA	28.76
adipose tissue	basophil	ENSG00000108688	ENSG00000113520	CCL7	IL4	C-C motif chemokine ligand 7	Interleukin 4	P80098	P05112	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.	NA	Positive	NA	35	NA	28.76
adipose tissue	basophil	ENSG00000108688	ENSG00000113520	CCL7	IL4	C-C motif chemokine ligand 7	Interleukin 4	P80098	P05112	ENSG00000129048	ACKR4	CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1	Q9NPB9	Atypical chemokine receptor 4	NA	CL_0000767	NA	605|Figure 14.3	NA	Positive	NA	35	NA	28.76
